iter	Passed	Remaining
0	148	147920
1	150	75212
2	153	50920
3	155	38704
4	157	31369
5	159	26474
6	162	22984
7	164	20337
8	166	18293
9	168	16642
10	170	15289
11	172	14165
12	174	13214
13	176	12400
14	178	11691
15	180	11079
16	182	10536
17	184	10049
18	186	9611
19	188	9219
20	190	8862
21	192	8537
22	194	8247
23	196	7991
24	198	7747
25	200	7527
26	203	7318
27	205	7120
28	207	6934
29	209	6764
30	211	6602
31	213	6449
32	215	6304
33	217	6172
34	219	6060
35	221	5938
36	223	5823
37	225	5715
38	227	5614
39	229	5514
40	231	5421
41	233	5333
42	235	5249
43	237	5167
44	239	5088
45	241	5012
46	243	4939
47	245	4872
48	247	4806
49	249	4743
50	251	4681
51	253	4623
52	255	4565
53	257	4511
54	259	4459
55	261	4408
56	263	4360
57	265	4311
58	267	4264
59	269	4218
60	271	4175
61	273	4133
62	275	4092
63	277	4051
64	279	4016
65	281	3980
66	283	3944
67	285	3908
68	287	3873
69	289	3840
70	292	3825
71	295	3803
72	299	3806
73	302	3789
74	305	3771
75	310	3780
76	313	3760
77	316	3738
78	318	3716
79	321	3694
80	323	3669
81	325	3646
82	327	3622
83	330	3600
84	332	3577
85	334	3554
86	336	3534
87	338	3511
88	341	3490
89	343	3471
90	345	3450
91	347	3431
92	349	3412
93	352	3394
94	354	3376
95	356	3360
96	359	3342
97	361	3324
98	363	3307
99	365	3293
100	368	3276
101	371	3269
102	374	3261
103	376	3247
104	379	3232
105	385	3251
106	387	3236
107	390	3223
108	392	3212
109	397	3215
110	400	3204
111	403	3195
112	406	3187
113	408	3178
114	413	3180
115	415	3168
116	418	3155
117	420	3143
118	423	3134
119	425	3123
120	430	3130
121	433	3120
122	435	3108
123	438	3095
124	440	3082
125	444	3079
126	446	3068
127	448	3054
128	450	3040
129	452	3028
130	454	3014
131	458	3013
132	460	3002
133	462	2990
134	464	2977
135	466	2965
136	468	2952
137	470	2940
138	474	2938
139	476	2929
140	478	2917
141	480	2905
142	482	2894
143	484	2882
144	488	2881
145	490	2870
146	492	2859
147	495	2850
148	498	2846
149	500	2837
150	504	2836
151	506	2827
152	510	2825
153	512	2815
154	514	2805
155	517	2800
156	519	2790
157	521	2779
158	522	2764
159	524	2754
160	526	2745
161	529	2736
162	531	2730
163	533	2721
164	536	2713
165	538	2705
166	540	2696
167	542	2686
168	544	2677
169	546	2668
170	548	2659
171	550	2650
172	552	2641
173	554	2632
174	556	2623
175	558	2614
176	560	2605
177	562	2596
178	564	2587
179	566	2580
180	568	2571
181	570	2562
182	572	2554
183	574	2545
184	576	2539
185	578	2533
186	580	2525
187	582	2517
188	584	2509
189	586	2501
190	588	2494
191	590	2485
192	592	2478
193	594	2471
194	596	2463
195	598	2455
196	600	2447
197	602	2440
198	604	2433
199	606	2425
200	608	2418
201	610	2410
202	612	2403
203	614	2396
204	616	2388
205	618	2382
206	620	2375
207	622	2368
208	624	2361
209	625	2354
210	627	2347
211	629	2341
212	632	2335
213	634	2329
214	636	2323
215	638	2318
216	640	2312
217	642	2305
218	644	2299
219	646	2293
220	648	2287
221	650	2280
222	652	2274
223	654	2267
224	656	2260
225	658	2254
226	660	2248
227	662	2242
228	664	2238
229	667	2233
230	669	2227
231	672	2225
232	674	2221
